month,card_spend,account_inflow,account_outflow,net_account_flow
2025-04,799304,15452280,11413614,4038666
2025-05,2225518,13672212,9219119,4453093
2025-06,1019351,16259095,13379671,2879424
2025-07,2250066,29732324,16324838,13407486
2025-08,2439245,29711372,18650604,11060768
2025-09,794643,15788524,13187519,2601005
2025-10,5847980,34897603,30978832,3918771
2025-11,1990168,12500848,8131063,4369785
2025-12,1380916,49495434,43952674,5542760
2026-01,2303123,26892523,16068807,10823716
2026-02,2039403,17330564,17744812,-414248
2026-03,5224620,18647897,16146981,2500916
2026-04,0,5679,4107,1572
